,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
58,45,0.2,10,0.5,-3,6.221679687499993,1.1244800999993458,0.114453125,-3.2504687500000005,7.09609375,3.8456250000000005,0.6981645000050776,miss,0.1,s,s,s,50
59,135,0.4,10,0.5,-3,59.58544921875,1.2864707999979146,0.0,-3.2733593750000005,-7.347890625000001,4.097421875,0.7646453000052134,hit,0.2,s,s,s,50
60,135,1.2,10,0.5,-3,68.74169921875,1.1243873000057647,0.343359375,-3.113125,-7.073203125000001,3.89140625,0.5474172999965958,hit,0.2,s,s,s,50
61,90,0.2,10,0.5,-3,7.509277343749998,1.3896616999991238,0.0,-3.227578125,-0.04578125,7.141875000000001,0.48259119999420363,hit,0.3,s,s,s,50
62,90,0.8,10,0.5,-3,69.31396484375,3.5414479000028223,0.183125,-2.907109375,0.25179687500000003,7.118984375000001,1.099401300001773,hit,0.1,s,s,s,50
63,45,0.8,10,0.5,-3,32.68896484375,1.8750531000114279,-0.022890625,-3.044453125,6.844296875,4.0287500000000005,0.43220450000080746,hit,0.3,s,s,s,50
64,45,1.2,10,0.5,-3,74.3212890625,1.3092428999952972,-0.297578125,-2.678203125,6.95875,3.79984375,0.5144499000016367,hit,0.2,s,s,s,50
65,135,0.2,10,0.5,-3,12.23046875,1.2420313999900827,0.0,-2.8384375000000004,-7.210546875,4.211875,0.6802112000004854,hit,0.2,s,s,s,50
66,135,0.6,10,0.5,-3,60.5869140625,1.2257669000100577,0.0,-2.88421875,-6.844296875,3.98296875,0.665333400000236,hit,0.2,s,s,s,50
67,135,1.2,10,0.5,-3,97.2119140625,6.924496299994644,-0.114453125,-2.93,-7.27921875,4.097421875,0.6818389999971259,hit,0.1,s,s,s,50
68,45,0.2,10,0.5,-3,7.366210937500001,2.135777200004668,0.06867187500000001,-2.907109375,6.82140625,4.188984375,0.7808717000007164,miss,0.2,s,s,s,50
69,135,0.4,10,0.5,-3,84.76513671875,1.1918464999907883,0.16023437499999998,-2.97578125,-7.2563281250000005,4.188984375,0.9482193000003463,hit,0.2,s,s,s,50
70,90,0.8,10,0.5,-3,41.416015625,2.607471399998758,0.06867187500000001,-3.0215625,-0.27468750000000003,7.004531250000001,0.5486454000056256,hit,0.2,s,s,s,50
71,135,0.6,10,0.5,-3,75.751953125,2.041696000000229,0.22890625,-3.3878125000000003,-7.164765624999999,4.211875,0.7814139999973122,hit,0.2,s,s,s,50
72,90,0.6,10,0.5,-3,68.884765625,1.6908202000049641,-0.13734375000000001,-3.2504687500000005,-0.13734375000000001,6.6840625000000005,1.7316737999935867,hit,0.2,s,s,s,50
73,90,1.2,10,0.5,-3,88.6279296875,1.1235479999886593,0.0,-2.952890625,-0.36625,6.95875,0.4487258000008296,hit,0.2,s,s,s,50
74,90,0.8,10,0.5,-3,71.31689453125,1.1081417000095826,-0.13734375000000001,-2.5637499999999998,0.0915625,6.82140625,1.6311980000027688,hit,0.2,s,s,s,50
75,45,0.6,10,0.5,-3,68.5986328125,1.356690200002049,-0.04578125,-3.1360156249999998,7.004531250000001,4.4865625,1.4314975999877788,hit,0.3,s,s,s,50
76,90,0.6,10,0.5,-3,78.61328125,1.1583007000008365,0.13734375000000001,-3.06734375,-0.183125,7.233437500000001,0.6981979999982286,hit,0.1,s,s,s,50
77,45,0.8,10,0.5,-3,75.60888671875,1.1584975000005215,0.297578125,-2.9986718750000003,6.500937500000001,4.097421875,0.5814065000013215,hit,0.3,s,s,s,50
78,90,1.0,10,0.5,-3,78.61328125,0.9904571999941254,0.0,-3.06734375,0.0,6.844296875,0.4983092000038596,hit,0.2,s,s,s,50
79,135,1.0,10,0.5,-3,78.75634765625,1.1576739000011003,-0.114453125,-2.540859375,-7.27921875,3.8456250000000005,1.6474400999868521,hit,0.2,s,s,s,50
80,135,0.4,10,0.5,-3,72.0322265625,1.1078241000068374,-0.22890625,-2.70109375,-6.82140625,4.3034375,0.597315000006347,hit,0.2,s,s,s,50
81,45,0.4,10,0.5,-3,57.86865234375001,3.4916251999966335,0.22890625,-3.227578125,6.6840625000000005,4.532343750000001,0.8813438999932259,miss,0.1,s,s,s,50
82,45,0.2,10,0.5,-3,32.5458984375,1.5243044000089867,0.27468750000000003,-2.93,6.661171875000001,4.6010156250000005,0.6660379999957513,miss,0.3,s,s,s,50
83,45,0.2,10,0.5,-3,67.74023437500001,1.1087847000017064,-0.06867187500000001,-2.88421875,6.981640625,4.211875,0.7974616999999853,hit,0.2,s,s,s,50
84,135,0.6,10,0.5,-3,76.0380859375,1.2416444000118645,0.0,-2.88421875,-6.8671875,4.211875,1.5988237999990815,hit,0.2,s,s,s,50
85,135,1.2,10,0.5,-3,89.34326171875,1.157916900003329,-0.41203124999999996,-2.8384375000000004,-7.141875000000001,3.70828125,2.014017599998624,no_response,0.2,s,s,s,50
