,direction,r,size_L,size_R,stage,theta_L,theta_R,type,w_L,w_R,x0,y0,x1,y1,theta_L1,theta_R1,rt,response,score,choose,name,sex,age,distance
123,True,7.0,16,24,phase_2,110,70,vs,0,30,-0.022890625,0.22890625,-2.083046875,4.80703125,110.0,33.632364999939455,1.2124856000009459,no_response,-300,0,lll,1,23,50
124,False,7.0,16,24,phase_2,250,-70,vs,0,60,0.0915625,-0.183125,-1.9685937500000001,-5.058828125,250.0,2.642564000125276,1.2109195000011823,no_response,-300,0,lll,1,23,50
125,True,7.0,24,24,phase_2,110,70,v,30,0,-0.13734375000000001,-0.022890625,2.1975000000000002,5.058828125,127.87181900006544,70.0,0.0,hit,100,right,lll,1,23,50
126,False,7.0,16,16,phase_2,250,-70,v,30,60,-0.022890625,-0.04578125,-3.8227343750000005,-4.051640625,230.6663860000117,-31.332772000023397,0.0,hit,100,left,lll,1,23,50
127,True,7.0,24,8,phase_2,110,70,s,0,0,0.0,0.04578125,-1.991484375,5.1274999999999995,110.0,70.0,0.0,hit,100,left,lll,1,23,50
128,True,7.0,16,8,phase_2,110,70,s,60,60,0.022890625,0.04578125,-3.79984375,4.0287500000000005,140.73738799983403,39.26261200016597,0.0,hit,100,left,lll,1,23,50
129,True,7.0,8,16,phase_2,110,70,vs,0,30,0.0915625,0.022890625,-2.15171875,5.150390625,110.0,42.83619100009673,0.0,hit,100,left,lll,1,23,50
130,False,7.0,16,16,phase_2,250,-70,v,60,30,0.022890625,0.0,-5.562421875,-1.9228125000000003,177.23426799973822,-33.61713399986911,1.212970700005826,no_response,-300,0,lll,1,23,50
131,False,7.0,16,24,phase_2,250,-70,s,60,60,0.06867187500000001,0.04578125,-5.287734375,-1.7854687500000002,196.48223800002597,-16.482238000025973,0.0,hit,100,left,lll,1,23,50
132,True,7.0,8,24,phase_2,110,70,vs,0,60,0.022890625,0.06867187500000001,3.98296875,3.8456250000000005,110.0,38.308036000235006,0.0,hit,100,right,lll,1,23,50
133,False,7.0,16,8,phase_2,250,-70,vs,60,30,0.114453125,-0.06867187500000001,-4.509453125,-3.3649218750000003,213.56994999965536,-51.78497499982768,0.0,hit,100,left,lll,1,23,50
134,True,7.0,8,16,phase_2,110,70,vs,0,60,-0.114453125,0.114453125,-1.899921875,5.150390625,110.0,-2.3276420001639053,1.2056940000038594,no_response,-300,0,lll,1,23,50
135,False,7.0,16,8,phase_2,250,-70,vs,60,30,0.114453125,0.114453125,-5.5395312500000005,-1.7625781249999999,205.27087600028608,-47.63543800014304,0.0,hit,100,left,lll,1,23,50
136,False,7.0,16,8,phase_2,250,-70,vs,60,0,0.16023437499999998,0.0915625,-3.9371875000000003,-3.89140625,217.26292000021203,-70.0,0.0,hit,100,left,lll,1,23,50
137,False,7.0,16,8,phase_2,250,-70,vs,60,0,0.13734375000000001,0.13734375000000001,-4.097421875,-3.9142968750000002,216.2641120000626,-70.0,0.0,hit,100,left,lll,1,23,50
